UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,104.50072,103.2390653,Indústrias de transformação,6,2018
Brasil,100.3298,101.9974989,Indústrias de transformação,4,2024
Brasil,99.55356,103.6639231,Indústrias de transformação,4,2018
Brasil,131.14199,119.5230915,Indústrias de transformação,8,2012
Brasil,88.15062,99.82107301,Indústrias de transformação,12,2023
Brasil,104.79031,98.68990501,Indústrias de transformação,9,2023
Brasil,90.76961,99.59833453,Indústrias de transformação,1,2019
Brasil,122.84953,114.3616541,Indústrias de transformação,9,2014
Brasil,89.97133,97.23748434,Indústrias de transformação,4,2017
Brasil,95.53022,108.6396543,Indústrias de transformação,2,2015
Brasil,92.11431,100.5645373,Indústrias de transformação,2,2019
Brasil,114.2564,115.1541245,Indústrias de transformação,6,2012
Brasil,99.90927,110.4121175,Indústrias de transformação,1,2015
Brasil,111.42609,99.62787699,Indústrias de transformação,8,2023
Brasil,123.34358,117.792066,Indústrias de transformação,11,2012
Brasil,104.05831,103.0424434,Indústrias de transformação,11,2024
Brasil,103.14246,98.20579965,Indústrias de transformação,5,2017
Brasil,101.07697,99.13194371,Indústrias de transformação,6,2017
Brasil,110.10278,100.3699033,Indústrias de transformação,10,2018
Brasil,119.20817,114.5109436,Indústrias de transformação,5,2012
Brasil,101.14467,99.47425257,Indústrias de transformação,11,2023
Brasil,108.05198,108.155137,Indústrias de transformação,3,2015
Brasil,102.52164,100.1624566,Indústrias de transformação,11,2018
Brasil,100.97156,99.20171853,Indústrias de transformação,11,2015
Brasil,106.08131,98.8789821,Indústrias de transformação,10,2023
Brasil,86.68646,99.50069066,Indústrias de transformação,12,2018
Brasil,93.59725,103.2465233,Indústrias de transformação,2,2025
Brasil,87.31177,97.59051981,Indústrias de transformação,1,2017
Brasil,108.42686,119.3153188,Indústrias de transformação,2,2014
Brasil,94.4352,100.5232747,Indústrias de transformação,4,2022
Brasil,100.80049,101.6788078,Indústrias de transformação,3,2021
Brasil,104.21145,101.7977368,Indústrias de transformação,11,2017
Brasil,94.42521,99.72055442,Indústrias de transformação,4,2021
Brasil,132.15233,120.2889109,Indústrias de transformação,8,2013
Brasil,107.46019,118.0901256,Indústrias de transformação,1,2014
Brasil,107.5854,100.2912786,Indústrias de transformação,9,2015
Brasil,92.84865,105.4461943,Indústrias de transformação,2,2021
Brasil,107.16804,96.26767365,Indústrias de transformação,8,2016
Brasil,106.11261,106.1886529,Indústrias de transformação,11,2020
Brasil,111.26838,102.7751776,Indústrias de transformação,8,2015
Brasil,102.37802,100.6359884,Indústrias de transformação,6,2022
Brasil,104.30087,97.29596302,Indústrias de transformação,9,2016
Brasil,121.93532,116.9054309,Indústrias de transformação,7,2012
Brasil,113.41917,117.9807491,Indústrias de transformação,3,2014
Brasil,96.16315,106.0377748,Indústrias de transformação,12,2020
Brasil,104.20349,114.0999362,Indústrias de transformação,2,2012
Brasil,127.06378,120.0215273,Indústrias de transformação,7,2013
Brasil,103.94214,100.8279722,Indústrias de transformação,5,2022
Brasil,94.62264,106.210658,Indústrias de transformação,1,2021
Brasil,98.55714,98.98522747,Indústrias de transformação,3,2022
Brasil,101.99716,102.2498432,Indústrias de transformação,6,2025
Brasil,95.70255,98.40649999,Indústrias de transformação,4,2016
Brasil,100.97518,97.39865982,Indústrias de transformação,6,2016
Brasil,108.06605,98.43420272,Indústrias de transformação,8,2021
Brasil,110.81831,102.1184699,Indústrias de transformação,7,2025
Brasil,124.64661,119.9093049,Indústrias de transformação,11,2013
Brasil,90.51574,99.72632935,Indústrias de transformação,12,2021
Brasil,102.88463,113.9623028,Indústrias de transformação,1,2012
Brasil,100.39026,98.2622519,Indústrias de transformação,11,2021
Brasil,105.86333,98.87678567,Indústrias de transformação,9,2021
Brasil,132.54824,119.1940464,Indústrias de transformação,10,2013
Brasil,104.83996,98.88837147,Indústrias de transformação,10,2021
Brasil,107.05565,100.7903181,Indústrias de transformação,9,2017
Brasil,102.83264,97.87640129,Indústrias de transformação,7,2016
Brasil,111.81701,102.9755177,Indústrias de transformação,7,2024
Brasil,90.17731,102.5198218,Indústrias de transformação,2,2022
Brasil,102.6202,100.6805538,Indústrias de transformação,5,2021
Brasil,111.54126,102.8507939,Indústrias de transformação,8,2025
Brasil,102.17523,100.181005,Indústrias de transformação,6,2021
Brasil,103.6141,116.8408347,Indústrias de transformação,12,2013
Brasil,89.14802,99.89199237,Indústrias de transformação,1,2022
Brasil,107.22375,98.59064885,Indústrias de transformação,7,2021
